feature,train_mean,external_mean,mean_difference,standardized_mean_difference,train_missing_rate,external_missing_rate
instrumentalness,0.17384416733113436,0.6544303028093532,0.4805861354782188,1.3123019505811016,0.0,0.09657170449058426
acoustic_instrumental_score,0.06717415137149502,0.3672945465556883,0.30012039518419326,1.185778922858521,0.0,0.09657170449058426
energy_danceability_score,0.36330229317742485,0.25421678106003404,-0.10908551211739081,-0.5986826229613003,0.0,0.09657170449058426
acousticness,0.32761445371512343,0.5345365535998183,0.2069220998846949,0.5883414691722963,0.0,0.09657170449058426
acoustic_energy_balance,-0.3070510446021958,-0.005074990683292357,0.3019760539189034,0.5332944009283281,0.0,0.09657170449058426
danceability,0.5622670522810204,0.46951149934991987,-0.0927555529311005,-0.5124113185898788,0.0,0.09657170449058426
energy,0.6346654983173193,0.5396115442831106,-0.09505395403420869,-0.36270263399510677,0.0,0.09657170449058426
dance_valence_score,0.2864342753186099,0.2267472305802264,-0.05968704473838349,-0.29840653878354034,0.0,0.09657170449058426
valence_energy_score,0.31470025072551305,0.2483295479722182,-0.06637070275329485,-0.29525703124147834,0.0,0.09657170449058426
liveness_energy_score,0.14731604182368657,0.10463243824841759,-0.042683603575268986,-0.2709687690090834,0.0,0.09657170449058426
tempo_energy_score,0.3011654384752331,0.2609260184049545,-0.040239420070278586,-0.2522553089647909,0.0016731201300253357,0.09657170449058426
energy_acoustic_ratio,105.27609753601027,49.5125021842706,-55.76359535173967,-0.24523735172184558,0.0,0.09657170449058426
popularity_energy_score,21.097262590859984,17.807180961342652,-3.2900816295173314,-0.21477713997297238,0.0,0.09657170449058426
valence,0.46895545300125885,0.4332243750708391,-0.03573107793041974,-0.13505060185135537,0.0,0.09657170449058426
liveness,0.21722801934445565,0.19169128893687867,-0.02553673040757698,-0.13370596667312365,0.0,0.09657170449058426
speechiness,0.08752067976480711,0.10072946340104758,0.013208783636240465,0.11290803197264758,0.0,0.09657170449058426
speech_energy_score,0.05968812542360754,0.05430186618256095,-0.00538625924104659,-0.06365466437715503,0.0,0.09657170449058426
tempo,122.26379681414798,122.87021818088259,0.6064213667346081,0.019910165243387845,0.0016731201300253357,0.0
tempo_normalized,0.46147504409558965,0.4640304846100924,0.002555440514502738,0.01991016524338714,0.0016731201300253357,0.0
popularity,33.148525264113964,,,,0.0,1.0
duration_ms,227534.14025527032,,,,0.0,1.0
key,5.267492072597479,,,,0.0,1.0
loudness,-8.49910132734197,,,,0.0,1.0
mode,0.6357856494096276,,,,0.0,1.0
time_signature,3.9324417948924513,,,,0.011026658380738404,1.0
loudness_normalized,0.7589645168166402,,,,0.0,1.0
duration_minutes,3.7922356709211726,,,,0.0,1.0
