feature,importance
numeric__acousticness,0.04739328105606932
numeric__danceability,0.04545785026957079
numeric__popularity,0.044960968041902985
numeric__energy_acoustic_ratio,0.04370340903981335
numeric__energy_danceability_score,0.04113026270095133
numeric__popularity_energy_score,0.03938775943378167
numeric__acoustic_energy_balance,0.038242281293813685
numeric__duration_minutes,0.03757952426453877
numeric__duration_ms,0.0372202030196307
numeric__speechiness,0.036430237228939635
numeric__speech_energy_score,0.03602344805400319
numeric__dance_valence_score,0.0342725560049619
numeric__instrumentalness,0.034078558203218944
numeric__valence,0.03343171932442802
numeric__energy,0.03313022651109547
numeric__acoustic_instrumental_score,0.03277614397134822
numeric__valence_energy_score,0.03207231055094344
numeric__loudness,0.03175494423190834
numeric__loudness_normalized,0.03114292386424143
numeric__tempo,0.030670739121514114
numeric__tempo_normalized,0.03062000590681357
numeric__tempo_energy_score,0.02987962999022082
numeric__liveness_energy_score,0.029404323453843948
numeric__liveness,0.029052682729327838
numeric__key,0.01955342303978331
categorical__popularity_bucket_emerging,0.011043436795634486
categorical__instrumentalness_flag_instrumental,0.006989536644392327
categorical__instrumentalness_flag_vocal,0.006591771665119122
categorical__acousticness_bucket_electric,0.006575140394169459
categorical__popularity_bucket_niche,0.00606663466961812
categorical__tempo_bucket_fast,0.005515327223407818
categorical__major_minor_flag_minor,0.005151386789307421
numeric__mode,0.005046067368635149
categorical__major_minor_flag_major,0.005002451089930427
categorical__tempo_bucket_medium,0.004393171009360439
categorical__popularity_bucket_popular,0.0040680212498954305
categorical__valence_bucket_neutral,0.0037904578390734593
categorical__duration_bucket_short,0.003765518401221502
categorical__duration_bucket_mid,0.0036351930505602883
numeric__time_signature,0.0035242531134872007
categorical__explicit_0.0,0.003515179337021161
categorical__acousticness_bucket_acoustic,0.003484033410469871
categorical__valence_bucket_dark,0.003409531732623246
categorical__explicit_1.0,0.0034044572254555553
categorical__valence_bucket_bright,0.003148805368010725
categorical__duration_bucket_long,0.002990345622293242
categorical__tempo_bucket_very_fast,0.0027385966918683315
categorical__energy_bucket_high,0.002680571368851578
categorical__speechiness_tier_speech,0.0025223388428123553
categorical__tempo_bucket_slow,0.002427908056604795
categorical__energy_bucket_mid,0.0024225506043811093
categorical__acousticness_bucket_mixed,0.0022798170756165087
categorical__energy_bucket_low,0.0016312743266284498
categorical__speechiness_tier_music,0.0014157308156412922
categorical__speechiness_tier_mixed,0.0007971016803346375
categorical__popularity_bucket_mainstream,0.0006039792309096823
categorical__source_dataset_spotify,0.0
