track_genre,rows,accuracy,avg_confidence,family
reggaeton,8,0.0,0.4822916666666667,hip_hop_rnb
groove,98,0.05102040816326531,0.5233843537414966,hip_hop_rnb
goth,135,0.05925925925925926,0.42551146384479716,mood_context
anime,162,0.09876543209876543,0.4016460905349794,mood_context
gospel,112,0.125,0.4378720238095238,mood_context
r-n-b,72,0.1388888888888889,0.4847222222222222,hip_hop_rnb
garage,129,0.20930232558139536,0.3943152454780362,electronic
blues,130,0.23846153846153847,0.5150089031339031,jazz_blues_classical
folk,140,0.24285714285714285,0.4393159013605442,acoustic_folk_country
sad,80,0.25,0.3494791666666667,mood_context
indie-pop,102,0.2549019607843137,0.415541452692188,pop
funk,103,0.2621359223300971,0.48631674757281557,hip_hop_rnb
hip-hop,133,0.2781954887218045,0.44359841529954314,hip_hop_rnb
synth-pop,136,0.27941176470588236,0.394828431372549,pop
rockabilly,82,0.2804878048780488,0.41341463414634144,rock
acoustic,141,0.28368794326241137,0.3676812450748621,acoustic_folk_country
j-pop,106,0.29245283018867924,0.4930817610062893,pop
happy,129,0.29457364341085274,0.4838265255416418,mood_context
guitar,133,0.3308270676691729,0.4079573934837093,rock
chill,149,0.348993288590604,0.34556727388942154,ambient_chill
j-rock,77,0.36363636363636365,0.40303030303030307,rock
singer-songwriter,76,0.3684210526315789,0.4082236842105263,acoustic_folk_country
emo,140,0.37142857142857144,0.42791666666666667,rock
psych-rock,92,0.3804347826086957,0.42943840579710146,rock
soul,74,0.3918918918918919,0.5320443211068211,hip_hop_rnb
dub,131,0.40458015267175573,0.44673603538107354,latin_world
british,141,0.41134751773049644,0.3715898345153665,latin_world
piano,137,0.41605839416058393,0.4837591240875913,jazz_blues_classical
power-pop,128,0.421875,0.4475911458333333,pop
bluegrass,147,0.42857142857142855,0.3783446712018141,acoustic_folk_country
afrobeat,140,0.4357142857142857,0.4348214285714286,latin_world
mandopop,143,0.44755244755244755,0.44982517482517487,pop
disco,138,0.4492753623188406,0.4648519093627789,electronic
dubstep,46,0.45652173913043476,0.45978260869565213,electronic
k-pop,133,0.46616541353383456,0.412468671679198,pop
children,158,0.46835443037974683,0.4295358649789029,mood_context
indie,19,0.47368421052631576,0.5627192982456141,rock
punk-rock,109,0.4954128440366973,0.46247706422018353,rock
rock-n-roll,112,0.5,0.40319940476190474,rock
rock,48,0.5,0.5655787037037038,rock
opera,126,0.5079365079365079,0.43802910052910055,jazz_blues_classical
disney,147,0.5170068027210885,0.4074546485260771,pop
show-tunes,132,0.5303030303030303,0.39278198653198654,pop
electronic,129,0.5348837209302325,0.48372093023255813,electronic
cantopop,149,0.5369127516778524,0.4053914988814318,pop
malay,145,0.5379310344827586,0.4217816091954023,latin_world
alt-rock,163,0.5460122699386503,0.5034083162917519,rock
club,146,0.547945205479452,0.49035388127853885,electronic
country,146,0.5616438356164384,0.5869720319634704,acoustic_folk_country
punk,30,0.5666666666666667,0.45416666666666666,rock
trip-hop,141,0.574468085106383,0.46696217494089837,electronic
indian,95,0.5789473684210527,0.4137468671679198,latin_world
industrial,129,0.5813953488372093,0.48704780361757105,rock
hard-rock,121,0.5867768595041323,0.5139118457300276,rock
ambient,156,0.5897435897435898,0.49880698005698004,ambient_chill
j-idol,143,0.5944055944055944,0.4438228438228438,pop
french,113,0.6017699115044248,0.4498525073746313,latin_world
spanish,139,0.6187050359712231,0.4195693445243805,latin_world
party,104,0.6346153846153846,0.5184481837606838,mood_context
iranian,165,0.6363636363636364,0.5015791245791246,latin_world
